,geometry,crime,color
50,"POLYGON ((-73.56983070150004 45.49606850850001, -73.56783070150004 45.49606850850001, -73.56783070150004 45.49406850850001, -73.56983070150004 45.49406850850001, -73.56983070150004 45.49606850850001))",0,purple
51,"POLYGON ((-73.56783070150004 45.49606850850001, -73.56583070150005 45.49606850850001, -73.56583070150005 45.49406850850001, -73.56783070150004 45.49406850850001, -73.56783070150004 45.49606850850001))",0,purple
52,"POLYGON ((-73.56583070150005 45.49606850850001, -73.56383070150005 45.49606850850001, -73.56383070150005 45.49406850850001, -73.56583070150005 45.49406850850001, -73.56583070150005 45.49606850850001))",0,purple
53,"POLYGON ((-73.56383070150005 45.49606850850001, -73.56183070150006 45.49606850850001, -73.56183070150006 45.49406850850001, -73.56383070150005 45.49406850850001, -73.56383070150005 45.49606850850001))",1,purple
54,"POLYGON ((-73.56183070150006 45.49606850850001, -73.55983070150006 45.49606850850001, -73.55983070150006 45.49406850850001, -73.56183070150006 45.49406850850001, -73.56183070150006 45.49606850850001))",187,yellow
55,"POLYGON ((-73.55983070150006 45.49606850850001, -73.55783070150007 45.49606850850001, -73.55783070150007 45.49406850850001, -73.55983070150006 45.49406850850001, -73.55983070150006 45.49606850850001))",16,purple
56,"POLYGON ((-73.55783070150007 45.49606850850001, -73.55583070150007 45.49606850850001, -73.55583070150007 45.49406850850001, -73.55783070150007 45.49406850850001, -73.55783070150007 45.49606850850001))",11,purple
57,"POLYGON ((-73.55583070150007 45.49606850850001, -73.55383070150008 45.49606850850001, -73.55383070150008 45.49406850850001, -73.55583070150007 45.49406850850001, -73.55583070150007 45.49606850850001))",0,purple
58,"POLYGON ((-73.55383070150008 45.49606850850001, -73.55183070150008 45.49606850850001, -73.55183070150008 45.49406850850001, -73.55383070150008 45.49406850850001, -73.55383070150008 45.49606850850001))",28,purple
59,"POLYGON ((-73.55183070150008 45.49606850850001, -73.54983070150008 45.49606850850001, -73.54983070150008 45.49406850850001, -73.55183070150008 45.49406850850001, -73.55183070150008 45.49606850850001))",84,yellow
60,"POLYGON ((-73.58983070149999 45.49806850850001, -73.5878307015 45.49806850850001, -73.5878307015 45.49606850850001, -73.58983070149999 45.49606850850001, -73.58983070149999 45.49806850850001))",24,purple
61,"POLYGON ((-73.5878307015 45.49806850850001, -73.5858307015 45.49806850850001, -73.5858307015 45.49606850850001, -73.5878307015 45.49606850850001, -73.5878307015 45.49806850850001))",35,yellow
62,"POLYGON ((-73.5858307015 45.49806850850001, -73.58383070150001 45.49806850850001, -73.58383070150001 45.49606850850001, -73.5858307015 45.49606850850001, -73.5858307015 45.49806850850001))",108,yellow
63,"POLYGON ((-73.58383070150001 45.49806850850001, -73.58183070150001 45.49806850850001, -73.58183070150001 45.49606850850001, -73.58383070150001 45.49606850850001, -73.58383070150001 45.49806850850001))",14,purple
64,"POLYGON ((-73.58183070150001 45.49806850850001, -73.57983070150001 45.49806850850001, -73.57983070150001 45.49606850850001, -73.58183070150001 45.49606850850001, -73.58183070150001 45.49806850850001))",69,yellow
65,"POLYGON ((-73.57983070150001 45.49806850850001, -73.57783070150002 45.49806850850001, -73.57783070150002 45.49606850850001, -73.57983070150001 45.49606850850001, -73.57983070150001 45.49806850850001))",23,purple
66,"POLYGON ((-73.57783070150002 45.49806850850001, -73.57583070150002 45.49806850850001, -73.57583070150002 45.49606850850001, -73.57783070150002 45.49606850850001, -73.57783070150002 45.49806850850001))",90,yellow
67,"POLYGON ((-73.57583070150002 45.49806850850001, -73.57383070150003 45.49806850850001, -73.57383070150003 45.49606850850001, -73.57583070150002 45.49606850850001, -73.57583070150002 45.49806850850001))",0,purple
68,"POLYGON ((-73.57383070150003 45.49806850850001, -73.57183070150003 45.49806850850001, -73.57183070150003 45.49606850850001, -73.57383070150003 45.49606850850001, -73.57383070150003 45.49806850850001))",5,purple
69,"POLYGON ((-73.57183070150003 45.49806850850001, -73.56983070150004 45.49806850850001, -73.56983070150004 45.49606850850001, -73.57183070150003 45.49606850850001, -73.57183070150003 45.49806850850001))",0,purple
70,"POLYGON ((-73.56983070150004 45.49806850850001, -73.56783070150004 45.49806850850001, -73.56783070150004 45.49606850850001, -73.56983070150004 45.49606850850001, -73.56983070150004 45.49806850850001))",0,purple
71,"POLYGON ((-73.56783070150004 45.49806850850001, -73.56583070150005 45.49806850850001, -73.56583070150005 45.49606850850001, -73.56783070150004 45.49606850850001, -73.56783070150004 45.49806850850001))",0,purple
72,"POLYGON ((-73.56583070150005 45.49806850850001, -73.56383070150005 45.49806850850001, -73.56383070150005 45.49606850850001, -73.56583070150005 45.49606850850001, -73.56583070150005 45.49806850850001))",22,purple
73,"POLYGON ((-73.56383070150005 45.49806850850001, -73.56183070150006 45.49806850850001, -73.56183070150006 45.49606850850001, -73.56383070150005 45.49606850850001, -73.56383070150005 45.49806850850001))",35,yellow
74,"POLYGON ((-73.56183070150006 45.49806850850001, -73.55983070150006 45.49806850850001, -73.55983070150006 45.49606850850001, -73.56183070150006 45.49606850850001, -73.56183070150006 45.49806850850001))",17,purple
75,"POLYGON ((-73.55983070150006 45.49806850850001, -73.55783070150007 45.49806850850001, -73.55783070150007 45.49606850850001, -73.55983070150006 45.49606850850001, -73.55983070150006 45.49806850850001))",30,purple
76,"POLYGON ((-73.55783070150007 45.49806850850001, -73.55583070150007 45.49806850850001, -73.55583070150007 45.49606850850001, -73.55783070150007 45.49606850850001, -73.55783070150007 45.49806850850001))",10,purple
77,"POLYGON ((-73.55583070150007 45.49806850850001, -73.55383070150008 45.49806850850001, -73.55383070150008 45.49606850850001, -73.55583070150007 45.49606850850001, -73.55583070150007 45.49806850850001))",65,yellow
78,"POLYGON ((-73.55383070150008 45.49806850850001, -73.55183070150008 45.49806850850001, -73.55183070150008 45.49606850850001, -73.55383070150008 45.49606850850001, -73.55383070150008 45.49806850850001))",81,yellow
79,"POLYGON ((-73.55183070150008 45.49806850850001, -73.54983070150008 45.49806850850001, -73.54983070150008 45.49606850850001, -73.55183070150008 45.49606850850001, -73.55183070150008 45.49806850850001))",42,yellow
80,"POLYGON ((-73.58983070149999 45.50006850850001, -73.5878307015 45.50006850850001, -73.5878307015 45.49806850850001, -73.58983070149999 45.49806850850001, -73.58983070149999 45.50006850850001))",0,purple
81,"POLYGON ((-73.5878307015 45.50006850850001, -73.5858307015 45.50006850850001, -73.5858307015 45.49806850850001, -73.5878307015 45.49806850850001, -73.5878307015 45.50006850850001))",65,yellow
82,"POLYGON ((-73.5858307015 45.50006850850001, -73.58383070150001 45.50006850850001, -73.58383070150001 45.49806850850001, -73.5858307015 45.49806850850001, -73.5858307015 45.50006850850001))",38,yellow
83,"POLYGON ((-73.58383070150001 45.50006850850001, -73.58183070150001 45.50006850850001, -73.58183070150001 45.49806850850001, -73.58383070150001 45.49806850850001, -73.58383070150001 45.50006850850001))",102,yellow
84,"POLYGON ((-73.58183070150001 45.50006850850001, -73.57983070150001 45.50006850850001, -73.57983070150001 45.49806850850001, -73.58183070150001 45.49806850850001, -73.58183070150001 45.50006850850001))",33,purple
85,"POLYGON ((-73.57983070150001 45.50006850850001, -73.57783070150002 45.50006850850001, -73.57783070150002 45.49806850850001, -73.57983070150001 45.49806850850001, -73.57983070150001 45.50006850850001))",92,yellow
86,"POLYGON ((-73.57783070150002 45.50006850850001, -73.57583070150002 45.50006850850001, -73.57583070150002 45.49806850850001, -73.57783070150002 45.49806850850001, -73.57783070150002 45.50006850850001))",37,yellow
87,"POLYGON ((-73.57583070150002 45.50006850850001, -73.57383070150003 45.50006850850001, -73.57383070150003 45.49806850850001, -73.57583070150002 45.49806850850001, -73.57583070150002 45.50006850850001))",39,yellow
88,"POLYGON ((-73.57383070150003 45.50006850850001, -73.57183070150003 45.50006850850001, -73.57183070150003 45.49806850850001, -73.57383070150003 45.49806850850001, -73.57383070150003 45.50006850850001))",0,purple
89,"POLYGON ((-73.57183070150003 45.50006850850001, -73.56983070150004 45.50006850850001, -73.56983070150004 45.49806850850001, -73.57183070150003 45.49806850850001, -73.57183070150003 45.50006850850001))",0,purple
90,"POLYGON ((-73.56983070150004 45.50006850850001, -73.56783070150004 45.50006850850001, -73.56783070150004 45.49806850850001, -73.56983070150004 45.49806850850001, -73.56983070150004 45.50006850850001))",55,yellow
91,"POLYGON ((-73.56783070150004 45.50006850850001, -73.56583070150005 45.50006850850001, -73.56583070150005 45.49806850850001, -73.56783070150004 45.49806850850001, -73.56783070150004 45.50006850850001))",9,purple
92,"POLYGON ((-73.56583070150005 45.50006850850001, -73.56383070150005 45.50006850850001, -73.56383070150005 45.49806850850001, -73.56583070150005 45.49806850850001, -73.56583070150005 45.50006850850001))",1,purple
93,"POLYGON ((-73.56383070150005 45.50006850850001, -73.56183070150006 45.50006850850001, -73.56183070150006 45.49806850850001, -73.56383070150005 45.49806850850001, -73.56383070150005 45.50006850850001))",20,purple
94,"POLYGON ((-73.56183070150006 45.50006850850001, -73.55983070150006 45.50006850850001, -73.55983070150006 45.49806850850001, -73.56183070150006 45.49806850850001, -73.56183070150006 45.50006850850001))",31,purple
95,"POLYGON ((-73.55983070150006 45.50006850850001, -73.55783070150007 45.50006850850001, -73.55783070150007 45.49806850850001, -73.55983070150006 45.49806850850001, -73.55983070150006 45.50006850850001))",40,yellow
96,"POLYGON ((-73.55783070150007 45.50006850850001, -73.55583070150007 45.50006850850001, -73.55583070150007 45.49806850850001, -73.55783070150007 45.49806850850001, -73.55783070150007 45.50006850850001))",97,yellow
97,"POLYGON ((-73.55583070150007 45.50006850850001, -73.55383070150008 45.50006850850001, -73.55383070150008 45.49806850850001, -73.55583070150007 45.49806850850001, -73.55583070150007 45.50006850850001))",158,yellow
98,"POLYGON ((-73.55383070150008 45.50006850850001, -73.55183070150008 45.50006850850001, -73.55183070150008 45.49806850850001, -73.55383070150008 45.49806850850001, -73.55383070150008 45.50006850850001))",101,yellow
99,"POLYGON ((-73.55183070150008 45.50006850850001, -73.54983070150008 45.50006850850001, -73.54983070150008 45.49806850850001, -73.55183070150008 45.49806850850001, -73.55183070150008 45.50006850850001))",112,yellow
100,"POLYGON ((-73.58983070149999 45.50206850850002, -73.5878307015 45.50206850850002, -73.5878307015 45.50006850850001, -73.58983070149999 45.50006850850001, -73.58983070149999 45.50206850850002))",82,yellow
101,"POLYGON ((-73.5878307015 45.50206850850002, -73.5858307015 45.50206850850002, -73.5858307015 45.50006850850001, -73.5878307015 45.50006850850001, -73.5878307015 45.50206850850002))",31,purple
102,"POLYGON ((-73.5858307015 45.50206850850002, -73.58383070150001 45.50206850850002, -73.58383070150001 45.50006850850001, -73.5858307015 45.50006850850001, -73.5858307015 45.50206850850002))",41,yellow
103,"POLYGON ((-73.58383070150001 45.50206850850002, -73.58183070150001 45.50206850850002, -73.58183070150001 45.50006850850001, -73.58383070150001 45.50006850850001, -73.58383070150001 45.50206850850002))",25,purple
104,"POLYGON ((-73.58183070150001 45.50206850850002, -73.57983070150001 45.50206850850002, -73.57983070150001 45.50006850850001, -73.58183070150001 45.50006850850001, -73.58183070150001 45.50206850850002))",95,yellow
105,"POLYGON ((-73.57983070150001 45.50206850850002, -73.57783070150002 45.50206850850002, -73.57783070150002 45.50006850850001, -73.57983070150001 45.50006850850001, -73.57983070150001 45.50206850850002))",14,purple
106,"POLYGON ((-73.57783070150002 45.50206850850002, -73.57583070150002 45.50206850850002, -73.57583070150002 45.50006850850001, -73.57783070150002 45.50006850850001, -73.57783070150002 45.50206850850002))",158,yellow
107,"POLYGON ((-73.57583070150002 45.50206850850002, -73.57383070150003 45.50206850850002, -73.57383070150003 45.50006850850001, -73.57583070150002 45.50006850850001, -73.57583070150002 45.50206850850002))",41,yellow
108,"POLYGON ((-73.57383070150003 45.50206850850002, -73.57183070150003 45.50206850850002, -73.57183070150003 45.50006850850001, -73.57383070150003 45.50006850850001, -73.57383070150003 45.50206850850002))",0,purple
109,"POLYGON ((-73.57183070150003 45.50206850850002, -73.56983070150004 45.50206850850002, -73.56983070150004 45.50006850850001, -73.57183070150003 45.50006850850001, -73.57183070150003 45.50206850850002))",15,purple
110,"POLYGON ((-73.56983070150004 45.50206850850002, -73.56783070150004 45.50206850850002, -73.56783070150004 45.50006850850001, -73.56983070150004 45.50006850850001, -73.56983070150004 45.50206850850002))",52,yellow
111,"POLYGON ((-73.56783070150004 45.50206850850002, -73.56583070150005 45.50206850850002, -73.56583070150005 45.50006850850001, -73.56783070150004 45.50006850850001, -73.56783070150004 45.50206850850002))",9,purple
112,"POLYGON ((-73.56583070150005 45.50206850850002, -73.56383070150005 45.50206850850002, -73.56383070150005 45.50006850850001, -73.56583070150005 45.50006850850001, -73.56583070150005 45.50206850850002))",15,purple
113,"POLYGON ((-73.56383070150005 45.50206850850002, -73.56183070150006 45.50206850850002, -73.56183070150006 45.50006850850001, -73.56383070150005 45.50006850850001, -73.56383070150005 45.50206850850002))",10,purple
114,"POLYGON ((-73.56183070150006 45.50206850850002, -73.55983070150006 45.50206850850002, -73.55983070150006 45.50006850850001, -73.56183070150006 45.50006850850001, -73.56183070150006 45.50206850850002))",66,yellow
115,"POLYGON ((-73.55983070150006 45.50206850850002, -73.55783070150007 45.50206850850002, -73.55783070150007 45.50006850850001, -73.55983070150006 45.50006850850001, -73.55983070150006 45.50206850850002))",58,yellow
116,"POLYGON ((-73.55783070150007 45.50206850850002, -73.55583070150007 45.50206850850002, -73.55583070150007 45.50006850850001, -73.55783070150007 45.50006850850001, -73.55783070150007 45.50206850850002))",165,yellow
117,"POLYGON ((-73.55583070150007 45.50206850850002, -73.55383070150008 45.50206850850002, -73.55383070150008 45.50006850850001, -73.55583070150007 45.50006850850001, -73.55583070150007 45.50206850850002))",165,yellow
118,"POLYGON ((-73.55383070150008 45.50206850850002, -73.55183070150008 45.50206850850002, -73.55183070150008 45.50006850850001, -73.55383070150008 45.50006850850001, -73.55383070150008 45.50206850850002))",118,yellow
119,"POLYGON ((-73.55183070150008 45.50206850850002, -73.54983070150008 45.50206850850002, -73.54983070150008 45.50006850850001, -73.55183070150008 45.50006850850001, -73.55183070150008 45.50206850850002))",10,purple
120,"POLYGON ((-73.58983070149999 45.50406850850002, -73.5878307015 45.50406850850002, -73.5878307015 45.50206850850002, -73.58983070149999 45.50206850850002, -73.58983070149999 45.50406850850002))",5,purple
121,"POLYGON ((-73.5878307015 45.50406850850002, -73.5858307015 45.50406850850002, -73.5858307015 45.50206850850002, -73.5878307015 45.50206850850002, -73.5878307015 45.50406850850002))",53,yellow
122,"POLYGON ((-73.5858307015 45.50406850850002, -73.58383070150001 45.50406850850002, -73.58383070150001 45.50206850850002, -73.5858307015 45.50206850850002, -73.5858307015 45.50406850850002))",12,purple
123,"POLYGON ((-73.58383070150001 45.50406850850002, -73.58183070150001 45.50406850850002, -73.58183070150001 45.50206850850002, -73.58383070150001 45.50206850850002, -73.58383070150001 45.50406850850002))",49,yellow
124,"POLYGON ((-73.58183070150001 45.50406850850002, -73.57983070150001 45.50406850850002, -73.57983070150001 45.50206850850002, -73.58183070150001 45.50206850850002, -73.58183070150001 45.50406850850002))",68,yellow
125,"POLYGON ((-73.57983070150001 45.50406850850002, -73.57783070150002 45.50406850850002, -73.57783070150002 45.50206850850002, -73.57983070150001 45.50206850850002, -73.57983070150001 45.50406850850002))",83,yellow
126,"POLYGON ((-73.57783070150002 45.50406850850002, -73.57583070150002 45.50406850850002, -73.57583070150002 45.50206850850002, -73.57783070150002 45.50206850850002, -73.57783070150002 45.50406850850002))",85,yellow
127,"POLYGON ((-73.57583070150002 45.50406850850002, -73.57383070150003 45.50406850850002, -73.57383070150003 45.50206850850002, -73.57583070150002 45.50206850850002, -73.57583070150002 45.50406850850002))",74,yellow
128,"POLYGON ((-73.57383070150003 45.50406850850002, -73.57183070150003 45.50406850850002, -73.57183070150003 45.50206850850002, -73.57383070150003 45.50206850850002, -73.57383070150003 45.50406850850002))",21,purple
129,"POLYGON ((-73.57183070150003 45.50406850850002, -73.56983070150004 45.50406850850002, -73.56983070150004 45.50206850850002, -73.57183070150003 45.50206850850002, -73.57183070150003 45.50406850850002))",9,purple
130,"POLYGON ((-73.56983070150004 45.50406850850002, -73.56783070150004 45.50406850850002, -73.56783070150004 45.50206850850002, -73.56983070150004 45.50206850850002, -73.56983070150004 45.50406850850002))",101,yellow
131,"POLYGON ((-73.56783070150004 45.50406850850002, -73.56583070150005 45.50406850850002, -73.56583070150005 45.50206850850002, -73.56783070150004 45.50206850850002, -73.56783070150004 45.50406850850002))",44,yellow
132,"POLYGON ((-73.56583070150005 45.50406850850002, -73.56383070150005 45.50406850850002, -73.56383070150005 45.50206850850002, -73.56583070150005 45.50206850850002, -73.56583070150005 45.50406850850002))",0,purple
133,"POLYGON ((-73.56383070150005 45.50406850850002, -73.56183070150006 45.50406850850002, -73.56183070150006 45.50206850850002, -73.56383070150005 45.50206850850002, -73.56383070150005 45.50406850850002))",10,purple
134,"POLYGON ((-73.56183070150006 45.50406850850002, -73.55983070150006 45.50406850850002, -73.55983070150006 45.50206850850002, -73.56183070150006 45.50206850850002, -73.56183070150006 45.50406850850002))",91,yellow
135,"POLYGON ((-73.55983070150006 45.50406850850002, -73.55783070150007 45.50406850850002, -73.55783070150007 45.50206850850002, -73.55983070150006 45.50206850850002, -73.55983070150006 45.50406850850002))",278,yellow
136,"POLYGON ((-73.55783070150007 45.50406850850002, -73.55583070150007 45.50406850850002, -73.55583070150007 45.50206850850002, -73.55783070150007 45.50206850850002, -73.55783070150007 45.50406850850002))",53,yellow
137,"POLYGON ((-73.55583070150007 45.50406850850002, -73.55383070150008 45.50406850850002, -73.55383070150008 45.50206850850002, -73.55583070150007 45.50206850850002, -73.55583070150007 45.50406850850002))",106,yellow
138,"POLYGON ((-73.55383070150008 45.50406850850002, -73.55183070150008 45.50406850850002, -73.55183070150008 45.50206850850002, -73.55383070150008 45.50206850850002, -73.55383070150008 45.50406850850002))",46,yellow
